FECHA,NEMO,RAZON_SOCIAL,VOLUMEN,VAR_PRE,CANTIDAD,PRE_CIE,PRE_MAX,PRE_MED,PRE_MEN,V_ACMI_FEC_INSCRIP,PATRI_CON
04/01/2016,AGROCHAL  ,AGROGUACHAL S.A.,0,0,0,506,0,0,0,19860619,1360.33
04/01/2016,BBVACOL   ,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,7969134,0,35897,240,0,222,0,19730824,284.2
04/01/2016,BCOLOMBIA ,BANCOLOMBIA S.A.,439885240,-2.29,21976,20500,20500,20016.62,20000,19450701,22925.5
04/01/2016,BIOMAX    ,BIOMAX BIOCOMBUSTIBLES S.A.,0,0,0,1750,0,0,0,20091028,1184.78
04/01/2016,BMC       ,BMC BOLSA MERCANTIL DE COLOMBIA,0,0,0,841,0,0,0,20071030,1142.83
04/01/2016,BOGOTA    ,BANCO DE BOGOTA S.A.,0,0,0,59500,0,0,0,19290401,50263.89
04/01/2016,BVC       ,BOLSA DE VALORES DE COLOMBIA S.A.,50504118.9,1.18,2939242,17.2,17.2,17.18,17.2,20070621,6.17
04/01/2016,CARACOLTV ,CARACOL TELEVISION S.A.,0,0,0,382,0,0,0,19970502,660.91
04/01/2016,CARTON    ,CARTON DE COLOMBIA S.A.,0,0,0,4600,0,0,0,19690523,13240.6
04/01/2016,CELSIA    ,CELSIA S.A E.S.P,61653350,0,22016,2800,2805,2800.39,2800,20011008,5680.52
04/01/2016,CEMARGOS  ,CEMENTOS ARGOS S.A.,892130470,-5.35,94862,9200,9540,9404.51,9200,19620201,6196.02
04/01/2016,CLH       ,CEMEX LATAM HOLDING,1240059040,1.36,119387,10440,10460,10386.89,10300,20121107,7593.43
04/01/2016,CNEC      ,CANACOL ENERGY LTD,382427690,6,60140,6360,6500,6358.96,6170,20100721,6139.86
04/01/2016,COLOMBINA ,COLOMBINA S.A.,0,0,0,319,0,0,0,19871217,470.67
04/01/2016,COLTEJER  ,COLTEJER S.A.,0,0,0,1950,0,0,0,19360501,7982.28
04/01/2016,CONCIVILES,CONSTRUCCIONES CIVILES S.A.,0,0,0,500,0,0,0,19901217,0.01
04/01/2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,4320000,0,4000,1080,0,1080,0,19831027,1178.48
