year,AGROCHAL,BBVACOL,BCOLOMBIA,BIOMAX,BMC,BOGOTA,BVC,CARACOLTV,CARTON,CELSIA,CEMARGOS,CLH,CNEC,COLOMBINA,COLTEJER,CONCIVILES,CONCONCRET,COOMEVAEPS,CORFERIAS,CORFICOLCF,DESCAUCANO,ECOPETROL,EEB,ELCONDOR,ELECTULUA,EMPAQUES,ENKA,EPSA,ESTRA,ETB,EXITO,FABRICATO,FAMILIA,FGNTOLIMA,GASNATURAL,GASORIENTE,GRUPOARGOS,GRUPOAVAL,GRUPOSURA,HCOLSEL,ICOLCAP,INCASTILLA,INESA,INVENSA,ISA,MARLY,MAYAGUEZ,MINEROS,NUTRESA,OCCIDENTE,ODINSA,ORBIS,PAZRIO,PFAVAL,PFAVH,PFBBVACOL,PFBCOLOM,PFCARPAK,PFCEMARGOS,PFCORFICOL,PFDAVVNDA,PFGRUPOARG,PFGRUPSURA,PFVILLA051,PFVILLA053,PFVILLAS,PFVILLAS00,PFVILLAS01,PFVILLASCA,POPULAR,PROMIGAS,PROTECCION,RCNTELEVI,RIOPAILA,RIOPAILIND,SANFELIPE,TERPEL,TGLSC,VALINDUSTR,VALOREM,VALSIMESA,VILLAS
01/02/2016,0,279240000,412090600,0,0,102874580,115231281.6,0,0,168572760,665643900,372075760,956237750,0,0,0,153542970,0,0,1511657180,0,13507601621,343864655,0,0,0,0,0,0,42161950,3564677200,16638000,0,0,0,0,2896465200,28451010,7298023100,0,988162580,0,0,0,2276216080,0,0,25671500,3400051240,0,0,0,0,2349721440,4304139020,0,16276711120,33937750,797901480,0,1521387240,1102300780,1412134120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2016,0,52000000,1746120060,0,0,80811900,0,0,0,210348530,4832847020,4994846060,568753150,0,427800,0,0,0,0,777288580,0,12702198436,25195000,0,0,0,0,0,0,101675541,2021607840,196025519.6,0,0,0,0,2171143820,31934490,5410390480,524000000,193020485,0,0,0,6839898430,0,0,20666500,1285556320,7252000,0,0,0,2095166140,1273194210,0,16422840760,47730000,1976489840,3307500,1291910320,352693980,2661383000,0,0,0,0,0,0,0,8268040,0,0,0,0,0,567000,0,0,5852340,0,0
03/02/2016,0,0,2917262060,0,0,59003400,63897884.6,0,0,327052150,3164443960,4650537480,1325993500,0,0,0,13025495,0,0,670900480,0,18590334203,25567655,0,0,0,0,0,0,170520477,1901870120,81103785.9,0,0,0,0,2773546380,10654820,7165308800,10529000,819785960,0,0,0,636647470,0,0,38580000,1602727260,3690000,2088000,0,0,2663217415,1109924550,0,30686918980,17721000,1339738480,26859960,6928584160,2185951380,4691450760,0,0,0,0,0,0,0,0,6400000,0,0,0,0,3478744000,0,0,0,3317580,0
04/02/2016,0,279260540,2635166420,0,0,1229854100,69280076.9,0,0,2570920965,2794023100,5977995070,990722310,0,179450,0,3900985,0,0,959524460,0,21056326980,234363230,0,0,0,60600000,0,0,582515732,2727098420,127218219.9,0,0,0,0,4344019100,25590525,7493094240,0,1348020623,0,0,0,1905142940,0,0,16297710,14219338480,26424000,0,0,0,3787063435,786571725,0,26562899660,14114150,3406968460,31000000,4659838800,1732149820,2462620860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,12558420,0
05/02/2016,0,0,737340060,0,0,225810680,78426609,0,0,618416275,2291779550,3649096350,363915800,0,0,0,23708185,0,0,297245220,0,14088146020,293314820,14416680,0,0,45799998.4,0,0,936682000,3963916420,2565043.4,0,0,0,0,1700615160,50579580,2666687000,1081924500,5025940400,0,0,0,1299366000,0,0,903392515,1279740820,0,0,0,0,1494715040,1412647420,0,8101288680,2310000,8158442930,44144000,4886632220,555914960,3509282060,0,0,0,0,0,0,0,25694400,0,0,0,0,0,0,0,0,0,4662000,0
08/02/2016,0,0,1439768800,0,0,48747200,1123530.8,0,0,510833910,284624520,331077880,1003627760,0,4271700,0,5200000,0,0,548267820,0,7796204780,81340665,0,0,0,0,0,0,44035216,199084560,137360287.8,0,0,0,0,1049613060,77592720,1093732380,1072200000,0,0,0,0,447453250,0,0,617394240,1182290920,552900000,4650000,0,0,3354504750,1022144265,0,11416044180,45199220,896851960,0,2280630360,1223069040,1128208140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87924,4733820,0
09/02/2016,0,0,2349291520,0,0,701454700,28130377,0,54148500,1414114225,7029403750,6551035140,1050892030,0,495800,0,406636710,0,0,2340072620,0,24847762675,1039813135,0,0,0,0,0,0,465311500,1879110660,110339630.1,0,0,0,0,4727644000,19340860,6588094240,14936882950,16328750500,0,0,0,3886934430,0,0,142997600,8442442340,3001176000,0,0,0,7450040355,1417170050,0,41497042360,0,5421820100,58807000,15827375060,3443601020,7759437060,0,0,0,0,0,0,0,0,13600000,0,0,0,0,54731700,0,0,15956930,15148450,0
10/02/2016,0,0,57269938920,0,0,793212280,147795584.3,0,0,1395231865,5699178570,2903229780,1103073040,0,4737850,0,10290000,0,0,4361779920,0,14924881605,363004350,0,0,0,0,0,0,1028647750,3841791560,42548647.3,0,0,0,0,56980626640,10626605,5159946800,9226150000,4926771176,0,0,0,3942050430,0,0,30061885,4552101060,321300000,0,0,0,1828669910,5391315220,0,13254551240,50712140,3185499450,0,2242062620,5779788580,1953428380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2016,0,4307804,5020050600,0,0,468541760,6052720221,0,0,762562865,5458820800,813151300,763108120,0,0,0,140339030,0,0,1317140400,0,24994143415,1076907820,64277400,0,0,20025000,0,0,5689811321,5220300740,83744611.9,0,0,0,0,7084387880,177703100,59812347140,3218400000,20225430260,0,0,0,2230374400,0,0,553437480,4408455020,0,0,0,0,5349659360,1007116470,0,23864565660,30882750,2336113850,38743400,5881419900,4253115380,5848758160,0,0,0,0,0,0,0,0,0,0,0,0,0,3608950,0,0,568027640,0,0
12/02/2016,0,0,777868280,0,0,225941480,2293659154,0,0,604629225,4124857490,1251537120,952995640,0,0,0,0,0,0,804500340,0,27441829740,981403995,35895750,0,0,0,0,0,104309421,1165441180,76149784.3,0,0,0,0,5173945280,66864845,57029915440,0,5678853200,0,0,0,1266937450,0,0,792663190,5246260860,0,428179000,0,0,3151106815,2367427085,0,16200239640,0,3452324140,0,3215967760,1256339840,3557029200,0,0,0,0,0,0,0,40498260,0,0,0,0,0,0,0,0,8800000,0,0
